04-23 21:51:16.148 19618 19620 D dalvikvm: GC_CONCURRENT freed 423K, 10% free 9891K/10951K, paused 2ms+2ms
04-23 21:51:16.215 19618 19620 D dalvikvm: GC_CONCURRENT freed 392K, 10% free 9923K/10951K, paused 3ms+2ms
04-23 21:51:16.258 19618 19620 D dalvikvm: GC_CONCURRENT freed 351K, 9% free 10050K/10951K, paused 2ms+4ms
04-23 21:51:16.289 19618  7860 D dalvikvm: GC_FOR_ALLOC freed 472K, 10% free 9958K/10951K, paused 16ms
04-23 21:51:16.340 19618 19620 D dalvikvm: GC_CONCURRENT freed 274K, 8% free 10131K/10951K, paused 2ms+2ms
04-23 21:51:16.582 19618  7860 D dalvikvm: GC_EXPLICIT freed 337K, 10% free 9943K/10951K, paused 2ms+3ms
04-24 03:21:52.504  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:21:52.504  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:21:52.512  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:21:52.512  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:21:52.516  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:21:52.516  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:21:52.516  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:21:52.520  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:21:52.520  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:21:52.527  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:21:52.527  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:21:52.527  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:21:52.527  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:23:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:23:44.066  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:23:44.066  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:23:44.066  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:23:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:25:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:25:44.086  4972  4975 D dalvikvm: GC_CONCURRENT freed 416K, 15% free 9228K/10823K, paused 2ms+2ms
04-24 03:25:44.090  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:25:44.090  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:25:44.090  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:25:44.090  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:26:52.535  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:26:52.559  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 03:26:52.613  4972  4975 D dalvikvm: GC_CONCURRENT freed 381K, 14% free 9359K/10823K, paused 1ms+5ms
04-24 03:26:52.613  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:26:52.613  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:26:52.633  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:26:52.633  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:26:52.637  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:26:52.637  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:26:52.637  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:26:52.641  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:26:52.641  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:26:52.648  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:26:52.648  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:26:52.648  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:26:52.648  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:27:07.152  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:27:07.156  4972  9393 I PhoneLab-PeriodicCheckService: User info is synched
04-24 03:27:07.164  4972  9393 I PhoneLab-PeriodicCheckService: Logger Service is running
04-24 03:27:07.164  4972  9393 I PhoneLab-Locks: wake lock acquired
04-24 03:27:07.168  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-24 03:27:07.168  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-24 03:27:07.168  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:27:07.168  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-24 03:27:07.172  4972  9393 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-24 03:27:07.172  4972  9393 I PhoneLab-Locks: wake lock released
04-24 03:27:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:27:44.066  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:27:44.066  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:27:44.066  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:27:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:29:05.156   145   147 D dalvikvm: GC_CONCURRENT freed 1620K, 20% free 16000K/19783K, paused 3ms+8ms
04-24 03:29:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:29:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:29:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:29:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:29:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:31:24.410   270   631 I EventLogService: Aggregate from 1335250884324 (log), 1335250884324 (data)
04-24 03:31:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:31:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:31:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:31:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:31:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:31:52.652  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:31:52.676  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 03:31:52.727  4972  4975 D dalvikvm: GC_CONCURRENT freed 601K, 15% free 9267K/10823K, paused 2ms+6ms
04-24 03:31:52.750  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:31:52.750  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:31:52.758  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:31:52.758  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:31:52.758  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:31:52.758  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:31:52.762  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:31:52.766  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:31:52.766  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:31:52.770  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:31:52.770  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:31:52.773  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:31:52.773  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:33:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:33:44.066  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:33:44.066  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:33:44.066  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:33:44.066  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:35:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:35:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:35:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:35:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:35:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:36:52.789  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:36:52.805  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 03:36:52.855  4972  4975 D dalvikvm: GC_CONCURRENT freed 553K, 15% free 9224K/10823K, paused 2ms+5ms
04-24 03:36:52.879  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:36:52.879  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:36:52.887  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:36:52.887  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:36:52.887  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:36:52.887  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:36:52.891  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:36:52.895  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:36:52.895  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:36:52.898  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:36:52.898  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:36:52.898  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:36:52.898  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:37:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:37:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:37:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:37:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:37:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:37:44.086  4972  4975 D dalvikvm: GC_CONCURRENT freed 411K, 15% free 9208K/10823K, paused 2ms+1ms
04-24 03:38:33.844  5145  5148 D dalvikvm: GC_CONCURRENT freed 403K, 12% free 10541K/11911K, paused 1ms+4ms
04-24 03:39:11.449  5820  9430 V PicasaContentProvider: querySettings: defaults: {sync_on_wifi_only=1, auto_upload_account_type=null, sync_on_battery=1, sync_picasa_on_wifi_only=1, auto_upload_enabled=0, video_upload_wifi_only=1, sync_on_roaming=0, auto_upload_account_name=null}
04-24 03:39:12.625  5820  5823 D dalvikvm: GC_CONCURRENT freed 401K, 13% free 10051K/11463K, paused 14ms+2ms
04-24 03:39:13.707  5820  5823 D dalvikvm: GC_CONCURRENT freed 314K, 12% free 10130K/11463K, paused 1ms+2ms
04-24 03:39:16.070  5820  5823 D dalvikvm: GC_CONCURRENT freed 463K, 13% free 10057K/11463K, paused 2ms+6ms
04-24 03:39:18.711  5820  5823 D dalvikvm: GC_CONCURRENT freed 343K, 12% free 10114K/11463K, paused 2ms+11ms
04-24 03:39:18.844  5820  5823 D dalvikvm: GC_CONCURRENT freed 429K, 13% free 10085K/11463K, paused 2ms+3ms
04-24 03:39:18.980  5820  5823 D dalvikvm: GC_CONCURRENT freed 388K, 12% free 10096K/11463K, paused 1ms+3ms
04-24 03:39:21.707  5820  5823 D dalvikvm: GC_CONCURRENT freed 457K, 13% free 10026K/11463K, paused 14ms+2ms
04-24 03:39:25.250  5820  5823 D dalvikvm: GC_CONCURRENT freed 292K, 12% free 10184K/11463K, paused 2ms+4ms
04-24 03:39:25.305  5820  5823 D dalvikvm: GC_CONCURRENT freed 381K, 12% free 10197K/11463K, paused 2ms+3ms
04-24 03:39:25.719  5820  5823 D dalvikvm: GC_CONCURRENT freed 242K, 10% free 10349K/11463K, paused 2ms+3ms
04-24 03:39:26.020  5820  5823 D dalvikvm: GC_CONCURRENT freed 354K, 10% free 10386K/11463K, paused 2ms+4ms
04-24 03:39:26.270  5820  5823 D dalvikvm: GC_CONCURRENT freed 399K, 10% free 10379K/11463K, paused 1ms+3ms
04-24 03:39:27.301  5820  5823 D dalvikvm: GC_CONCURRENT freed 341K, 9% free 10438K/11463K, paused 2ms+3ms
04-24 03:39:27.473  5820  5823 D dalvikvm: GC_CONCURRENT freed 324K, 9% free 10512K/11463K, paused 1ms+8ms
04-24 03:39:27.652  5820  5823 D dalvikvm: GC_CONCURRENT freed 396K, 9% free 10514K/11463K, paused 2ms+2ms
04-24 03:39:27.844  5820  5823 D dalvikvm: GC_CONCURRENT freed 394K, 9% free 10517K/11463K, paused 2ms+2ms
04-24 03:39:28.437  6263  6265 D dalvikvm: GC_CONCURRENT freed 634K, 10% free 9728K/10695K, paused 1ms+8ms
04-24 03:39:28.727  5820  5823 D dalvikvm: GC_CONCURRENT freed 875K, 13% free 10026K/11463K, paused 2ms+8ms
04-24 03:39:29.555  5820  5823 D dalvikvm: GC_CONCURRENT freed 277K, 12% free 10135K/11463K, paused 2ms+3ms
04-24 03:39:30.590  6263  6265 D dalvikvm: GC_CONCURRENT freed 181K, 7% free 9951K/10695K, paused 2ms+4ms
04-24 03:39:32.586  5820  5823 D dalvikvm: GC_CONCURRENT freed 441K, 13% free 10079K/11463K, paused 14ms+3ms
04-24 03:39:35.398  6263  6275 D dalvikvm: GC_EXPLICIT freed 573K, 10% free 9657K/10695K, paused 2ms+2ms
04-24 03:39:37.461  5820  5823 D dalvikvm: GC_CONCURRENT freed 393K, 13% free 10081K/11463K, paused 2ms+3ms
04-24 03:39:37.777  6263  6265 D dalvikvm: GC_CONCURRENT freed 155K, 7% free 9954K/10695K, paused 2ms+4ms
04-24 03:39:39.562  5820  5823 D dalvikvm: GC_CONCURRENT freed 434K, 13% free 10032K/11463K, paused 2ms+5ms
04-24 03:39:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:39:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:39:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:39:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:39:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:40:11.660   145 30949 D dalvikvm: GC_EXPLICIT freed 1225K, 20% free 15942K/19783K, paused 3ms+7ms
04-24 03:40:11.934  6263  6265 D dalvikvm: GC_CONCURRENT freed 663K, 10% free 9677K/10695K, paused 1ms+3ms
04-24 03:41:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:41:44.055  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:41:44.055  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:41:44.059  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:41:44.059  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:41:52.906  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:41:52.914  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 03:41:52.977  4972  4975 D dalvikvm: GC_CONCURRENT freed 414K, 15% free 9292K/10823K, paused 2ms+4ms
04-24 03:41:53.008  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:41:53.008  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:41:53.016  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:41:53.016  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:41:53.016  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:41:53.020  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:41:53.020  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:41:53.023  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:41:53.023  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:41:53.027  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:41:53.027  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:41:53.031  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:41:53.031  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:42:08.117   291   291 I wpa_supplicant: wlan0: WPA: Group rekeying completed with d0:c2:82:66:6b:f1 [GTK=TKIP]
04-24 03:43:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:43:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:43:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:43:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:43:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:44:00.078   215   217 D dalvikvm: GC_CONCURRENT freed 386K, 19% free 9661K/11783K, paused 2ms+3ms
04-24 03:45:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:45:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:45:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:45:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:45:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:46:53.039  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:46:53.051  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 03:46:53.102  4972  4975 D dalvikvm: GC_CONCURRENT freed 563K, 15% free 9240K/10823K, paused 2ms+9ms
04-24 03:46:53.137  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:46:53.137  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:46:53.141  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:46:53.145  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:46:53.145  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:46:53.145  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:46:53.148  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:46:53.152  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:46:53.152  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:46:53.156  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:46:53.156  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:46:53.156  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:46:53.156  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:47:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:47:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:47:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:47:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:47:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:49:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:49:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:49:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:49:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:49:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:51:44.008  4972  4985 I PhoneLab-: Service Running
04-24 03:51:44.078  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:51:44.078  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:51:44.078  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:51:44.078  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:51:44.078  4972  4975 D dalvikvm: GC_CONCURRENT freed 418K, 15% free 9222K/10823K, paused 2ms+3ms
04-24 03:51:53.164  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:51:53.184  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 03:51:53.246  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:51:53.246  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:51:53.250  4972  4975 D dalvikvm: GC_CONCURRENT freed 466K, 15% free 9268K/10823K, paused 2ms+2ms
04-24 03:51:53.254  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:51:53.254  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:51:53.258  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:51:53.262  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:51:53.266  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:51:53.281  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:51:53.281  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:51:53.285  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:51:53.285  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:51:53.289  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:51:53.289  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:53:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:53:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:53:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:53:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:53:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:55:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:55:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:55:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:55:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:55:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:56:53.281  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:56:53.305  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 03:56:53.352  4972  4975 D dalvikvm: GC_CONCURRENT freed 514K, 15% free 9262K/10823K, paused 2ms+5ms
04-24 03:56:53.367  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 03:56:53.367  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 03:56:53.379  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 03:56:53.379  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:56:53.383  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 03:56:53.383  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:56:53.383  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:56:53.387  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-24 03:56:53.387  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:56:53.391  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-24 03:56:53.391  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:56:53.395  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-24 03:56:53.395  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:57:07.199  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 03:57:07.215  4972  9504 I PhoneLab-PeriodicCheckService: User info is synched
04-24 03:57:07.215  4972  9504 I PhoneLab-PeriodicCheckService: Logger Service is running
04-24 03:57:07.215  4972  9504 I PhoneLab-Locks: wake lock acquired
04-24 03:57:07.219  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-24 03:57:07.219  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-24 03:57:07.219  4972  4972 I PhoneLab-Locks: wake lock released
04-24 03:57:07.219  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-24 03:57:07.223  4972  9504 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-24 03:57:07.223  4972  9504 I PhoneLab-Locks: wake lock released
04-24 03:57:44.008  4972  4985 I PhoneLab-: Service Running
04-24 03:57:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:57:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:57:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:57:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 03:59:44.012  4972  4985 I PhoneLab-: Service Running
04-24 03:59:44.062  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 03:59:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 03:59:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 03:59:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 04:01:24.500   270  1099 I EventLogService: Aggregate from 1335252684414 (log), 1335252684414 (data)
04-24 04:01:44.008  4972  4985 I PhoneLab-: Service Running
04-24 04:01:44.074  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1004  c00f1758 400c6794 S logcat
04-24 04:01:44.074  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-24 04:01:44.074  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-24 04:01:44.074  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-24 04:01:53.402  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 04:01:53.418  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-24 04:01:53.469  4972  4975 D dalvikvm: GC_CONCURRENT freed 520K, 15% free 9250K/10823K, paused 1ms+5ms
04-24 04:01:53.488  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-24 04:01:53.488  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-24 04:01:53.496  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-24 04:01:53.496  4972  4972 I PhoneLab-Locks: wake lock released
04-24 04:01:53.500  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-24 04:01:53.500  4972  4972 I PhoneLab-Locks: wake lock acquired
04-24 04:01:53.500  4972  4972 I PhoneLab-Locks: wake lock acquired
